epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,422.752,1.49653,1.10681,0.02909,0.72009,0.67147,0.74237,0.43381,1.58037,1.22264,0.0514,0.000900775,0.000900775,0.000900775
67,431.751,1.2983,1.42598,0.02531,0.8269,0.60274,0.75967,0.48763,1.5149,1.04411,0.04382,0.000888987,0.000888987,0.000888987
68,438.145,1.06983,0.77792,0.01882,0.7268,0.78571,0.74619,0.47045,1.56388,1.0942,0.04426,0.000877199,0.000877199,0.000877199
69,443.906,1.44526,0.86248,0.02469,0.7268,0.78571,0.74619,0.47045,1.56388,1.0942,0.04426,0.000865411,0.000865411,0.000865411
70,450.885,1.19647,0.96506,0.01999,0.64719,0.92857,0.86972,0.54153,1.58015,1.09322,0.04648,0.000853623,0.000853623,0.000853623
71,458.767,1.37388,1.04721,0.02762,0.50387,0.71677,0.81489,0.5726,1.38605,1.42742,0.04018,0.000841835,0.000841835,0.000841835
72,466.723,1.27555,1.14577,0.02359,0.84784,0.64032,0.83417,0.54127,1.32218,1.37459,0.03895,0.000830047,0.000830047,0.000830047
73,473.818,1.3465,1.08389,0.02199,0.84784,0.64032,0.83417,0.54127,1.32218,1.37459,0.03895,0.000818259,0.000818259,0.000818259
74,481.252,1.33261,0.99207,0.02723,0.87301,0.67841,0.8121,0.52494,1.39311,1.18883,0.04167,0.000806471,0.000806471,0.000806471
75,488.538,1.2449,0.89933,0.0208,0.78843,0.68152,0.75022,0.49513,1.38848,1.21812,0.04024,0.000794683,0.000794683,0.000794683
76,495.892,1.18872,1.21127,0.02191,0.74514,0.75597,0.79873,0.45138,1.59982,1.34943,0.04745,0.000782895,0.000782895,0.000782895
77,503.213,1.23317,1.20855,0.0234,0.74514,0.75597,0.79873,0.45138,1.59982,1.34943,0.04745,0.000771107,0.000771107,0.000771107
78,510.636,1.13575,0.85508,0.02105,0.69383,0.76195,0.74703,0.39724,1.64052,1.4807,0.04957,0.000759318,0.000759318,0.000759318
79,517.85,1.33521,0.96485,0.02272,0.83771,0.69605,0.76456,0.45934,1.5645,1.37572,0.044,0.00074753,0.00074753,0.00074753
80,526.175,1.02187,0.78397,0.01847,0.86495,0.76314,0.7728,0.49226,1.38353,1.34411,0.03693,0.000735742,0.000735742,0.000735742
81,534.114,1.12617,0.82786,0.02072,0.86495,0.76314,0.7728,0.49226,1.38353,1.34411,0.03693,0.000723954,0.000723954,0.000723954
82,542.12,1.32471,0.88745,0.02075,0.72943,0.84738,0.74605,0.50909,1.31491,1.31603,0.03484,0.000712166,0.000712166,0.000712166
83,550.072,1.01413,0.75977,0.01668,0.77584,0.84543,0.73198,0.49645,1.25151,1.33954,0.03292,0.000700378,0.000700378,0.000700378
84,555.554,1.23432,1.16582,0.0216,0.67198,0.8251,0.74383,0.49762,1.34369,1.26693,0.03734,0.00068859,0.00068859,0.00068859
85,563.441,1.09234,0.90316,0.01785,0.67198,0.8251,0.74383,0.49762,1.34369,1.26693,0.03734,0.000676802,0.000676802,0.000676802
86,572.036,1.37637,0.71581,0.0268,0.8507,0.85714,0.88257,0.5506,1.51427,1.06137,0.04188,0.000665014,0.000665014,0.000665014
87,578.984,1.06183,0.56136,0.01807,0.87202,0.84508,0.86829,0.53788,1.54052,1.0735,0.04157,0.000653226,0.000653226,0.000653226
88,585.717,1.0334,0.7403,0.01721,0.85072,0.91364,0.8911,0.56827,1.49546,0.91156,0.04019,0.000641438,0.000641438,0.000641438
89,592.619,1.09979,0.68637,0.01957,0.85072,0.91364,0.8911,0.56827,1.49546,0.91156,0.04019,0.00062965,0.00062965,0.00062965
90,600.444,0.94904,0.55062,0.01563,0.87205,0.92857,0.89086,0.58144,1.41974,0.88571,0.0382,0.000617862,0.000617862,0.000617862
