epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,257.231,1.31389,1.22141,0.02329,0.49946,0.45901,0.50065,0.27634,1.95463,1.82365,0.05397,0.00103987,0.00103987,0.00103987
59,261.468,1.18101,1.05458,0.01884,0.505,0.78571,0.753,0.28934,2.03678,1.6269,0.05996,0.00102887,0.00102887,0.00102887
60,265.685,1.05686,0.98442,0.0198,0.73842,0.92857,0.89786,0.35861,1.90639,1.41578,0.05378,0.00101787,0.00101787,0.00101787
61,269.735,1.15728,0.92645,0.01929,0.73842,0.92857,0.89786,0.35861,1.90639,1.41578,0.05378,0.00100687,0.00100687,0.00100687
62,273.921,1.38833,1.14486,0.0261,0.7335,0.85714,0.90783,0.47967,1.47216,1.21811,0.04183,0.000995866,0.000995866,0.000995866
63,278.057,1.46973,1.23039,0.0318,0.64997,0.77479,0.84,0.57755,1.37081,0.85394,0.03725,0.000984864,0.000984864,0.000984864
64,282.298,1.20239,1.16652,0.02106,0.84346,0.73195,0.77945,0.4463,1.5531,1.11993,0.04454,0.000973861,0.000973861,0.000973861
65,286.418,1.31063,1.15301,0.02476,0.84346,0.73195,0.77945,0.4463,1.5531,1.11993,0.04454,0.000962859,0.000962859,0.000962859
66,290.653,1.38293,1.14197,0.02645,0.69139,0.75193,0.7975,0.437,1.74756,0.90195,0.05066,0.000951857,0.000951857,0.000951857
67,294.839,1.35173,1.15506,0.02471,0.81255,0.60741,0.78987,0.40189,1.81552,1.05118,0.05306,0.000940855,0.000940855,0.000940855
68,299.02,1.09112,0.94047,0.01926,0.68683,0.85714,0.72678,0.36641,1.73194,1.31075,0.05237,0.000929853,0.000929853,0.000929853
69,303.099,1.29006,0.97836,0.02091,0.68683,0.85714,0.72678,0.36641,1.73194,1.31075,0.05237,0.00091885,0.00091885,0.00091885
70,307.276,1.24742,0.9643,0.02035,0.57151,0.74271,0.63256,0.31309,1.56225,2.02539,0.04422,0.000907848,0.000907848,0.000907848
71,311.404,1.35502,0.99879,0.02619,0.64141,0.66768,0.71295,0.3504,1.33709,2.58095,0.03682,0.000896846,0.000896846,0.000896846
72,315.607,1.24041,1.23548,0.02057,0.59232,0.72248,0.64594,0.39364,1.02106,2.44555,0.02724,0.000885844,0.000885844,0.000885844
73,319.634,1.13692,1.1059,0.01872,0.59232,0.72248,0.64594,0.39364,1.02106,2.44555,0.02724,0.000874842,0.000874842,0.000874842
74,323.789,1.35929,1.06285,0.0284,0.70649,0.78571,0.76978,0.50703,1.12054,1.74859,0.02935,0.000863839,0.000863839,0.000863839
75,327.958,1.21353,1.0383,0.02225,0.68156,0.79043,0.77433,0.45019,1.39017,1.29306,0.03898,0.000852837,0.000852837,0.000852837
76,332.179,1.19953,1.12635,0.02288,0.70784,0.69048,0.82821,0.55276,1.1386,1.33173,0.03144,0.000841835,0.000841835,0.000841835
77,336.193,1.1912,0.82536,0.0212,0.70784,0.69048,0.82821,0.55276,1.1386,1.33173,0.03144,0.000830833,0.000830833,0.000830833
78,340.365,0.9758,0.95121,0.01697,0.68724,0.71429,0.83369,0.5027,1.30529,1.31462,0.03545,0.000819831,0.000819831,0.000819831
79,344.514,1.18786,0.96965,0.02151,0.5902,0.80332,0.80233,0.46259,1.44536,1.43417,0.0381,0.000808828,0.000808828,0.000808828
80,348.759,1.05672,0.81943,0.01978,0.67612,0.82096,0.83262,0.45604,1.48046,1.16197,0.03847,0.000797826,0.000797826,0.000797826
81,353.018,1.19691,0.92493,0.02298,0.67612,0.82096,0.83262,0.45604,1.48046,1.16197,0.03847,0.000786824,0.000786824,0.000786824
82,357.212,1.48778,1.10239,0.02457,0.72642,0.87812,0.77879,0.42762,1.5764,0.98685,0.0423,0.000775822,0.000775822,0.000775822
83,361.371,1.0608,0.84286,0.01881,0.90045,0.68713,0.90166,0.3998,1.75123,0.98502,0.05474,0.00076482,0.00076482,0.00076482
84,365.518,1.34351,1.16722,0.02388,0.74089,0.69012,0.76804,0.38199,1.82801,1.00569,0.0597,0.000753817,0.000753817,0.000753817
